HURID,NAME,YEAR,MONTH,DAY,HOURS,RECID,StatusOfSys,LAT,LOG,MaxWind,MinPress,34KTWindNE,34KTWindSE,34KTWindSW,34KTWindNW,50KTWindNE,50KTWindSE,50KTWindSW,50KTWindNW,64KTWindNE,64KTWindSE,64KTWindSW,64KTWindNW
AL012005,ARLENE,2005,6,8,1800,,TD,16.9,-84,25,1004,0,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,9,0,,TD,17.4,-83.9,30,1003,0,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,9,600,,TS,18.2,-83.9,35,1003,130,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,9,1200,,TS,19,-84,35,1002,130,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,9,1800,,TS,19.7,-84.1,35,1002,120,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,10,0,,TS,20.4,-84.2,40,1001,100,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,10,600,,TS,21.2,-84.4,45,1000,120,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,10,800,L,TS,21.8,-84.5,45,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL012005,ARLENE,2005,6,10,1200,,TS,23,-84.7,50,1000,130,0,60,30,100,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,10,1800,,TS,24.9,-85.1,55,995,130,100,0,40,100,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,11,0,,TS,26.5,-85.6,60,990,140,120,0,75,75,0,0,45,0,0,0,0
AL012005,ARLENE,2005,6,11,100,I,TS,26.5,-85.6,60,989,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL012005,ARLENE,2005,6,11,600,,TS,27.7,-86.8,60,993,140,120,0,75,75,0,0,45,0,0,0,0
AL012005,ARLENE,2005,6,11,1200,,TS,28.9,-87.2,55,990,130,120,0,75,75,0,0,45,0,0,0,0
AL012005,ARLENE,2005,6,11,1800,,TS,30.1,-87.5,50,991,30,100,0,0,0,75,0,0,0,0,0,0
AL012005,ARLENE,2005,6,11,1900,L,TS,30.3,-87.5,50,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL012005,ARLENE,2005,6,12,0,,TD,31.4,-87.6,30,994,0,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,12,600,,TD,32.7,-87.7,25,998,0,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,12,1200,,TD,35,-88,20,1003,0,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,12,1800,,TD,37,-87.8,20,1005,0,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,13,0,,TD,38.5,-87.5,20,1006,0,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,13,600,,TD,40.5,-86,20,1006,0,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,13,1200,,LO,42,-85,20,1005,0,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,13,1800,,EX,43,-84,20,1005,0,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,14,0,,EX,43.7,-81.1,20,1003,0,0,0,0,0,0,0,0,0,0,0,0
AL012005,ARLENE,2005,6,14,600,,EX,44.8,-77.6,20,1001,0,0,0,0,0,0,0,0,0,0,0,0
AL022005,BRET,2005,6,28,1800,,TD,19.7,-95.4,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
AL022005,BRET,2005,6,28,2235,I,TS,19.9,-95.7,35,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL022005,BRET,2005,6,29,0,,TS,20,-95.8,35,1005,20,30,30,20,0,0,0,0,0,0,0,0
AL022005,BRET,2005,6,29,600,,TS,20.4,-96.4,35,1005,30,30,30,30,0,0,0,0,0,0,0,0
AL022005,BRET,2005,6,29,1200,L,TS,20.8,-97.3,35,1005,30,30,30,30,0,0,0,0,0,0,0,0
AL022005,BRET,2005,6,29,1800,,TD,21.4,-98.1,25,1007,0,0,0,0,0,0,0,0,0,0,0,0
AL022005,BRET,2005,6,30,0,,TD,22,-98.5,25,1008,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,3,1800,,TD,18.3,-86.7,30,1009,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,4,330,L,TD,19,-87.6,30,1007,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,4,600,,TD,19.3,-87.9,30,1007,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,4,1200,,TD,20.9,-88.5,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,4,1800,,TD,22.3,-89,30,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,5,0,,TD,23.9,-89.7,30,1009,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,5,600,,TS,25.1,-90.2,35,1009,75,75,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,5,1200,,TS,26.4,-90.4,45,1002,90,90,0,20,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,5,1800,,TS,27.6,-90.5,60,997,90,90,30,60,30,30,0,25,0,0,0,0
AL032005,CINDY,2005,7,6,0,,HU,28.5,-90.3,65,992,90,90,40,60,30,30,20,25,20,20,0,0
AL032005,CINDY,2005,7,6,300,L,HU,29.2,-90.1,65,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL032005,CINDY,2005,7,6,600,,TS,29.6,-90,50,994,90,90,40,60,30,30,15,20,0,0,0,0
AL032005,CINDY,2005,7,6,900,L,TS,30.2,-89.5,45,995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL032005,CINDY,2005,7,6,1200,,TS,30.8,-88.9,40,998,0,70,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,6,1800,,TD,31.6,-88.1,30,1000,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,7,0,,TD,32.4,-87.2,25,1004,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,7,600,,TD,33.2,-86.2,20,1008,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,7,1200,,EX,34.6,-84.1,20,1009,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,7,1800,,EX,35.6,-81.8,20,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,8,0,,EX,37.1,-80,20,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,8,600,,EX,37.8,-78.3,20,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,8,1200,,EX,38.4,-76.7,25,1009,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,8,1800,,EX,39.1,-74.8,25,1009,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,9,0,,EX,39.5,-72,25,1009,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,9,600,,EX,40.8,-70.7,25,1009,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,9,1200,,EX,41.6,-69.8,30,1007,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,9,1800,,EX,43.5,-69.6,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,10,0,,EX,44.9,-69.8,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,10,600,,EX,45.5,-70,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,10,1200,,EX,46.5,-67.6,25,1006,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,10,1800,,EX,48,-66.4,20,1006,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,11,0,,EX,48.5,-64.5,20,1006,0,0,0,0,0,0,0,0,0,0,0,0
AL032005,CINDY,2005,7,11,600,,EX,48.5,-62.5,20,1006,0,0,0,0,0,0,0,0,0,0,0,0
AL042005,DENNIS,2005,7,4,1800,,TD,12,-60.8,25,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL042005,DENNIS,2005,7,4,2100,L,TD,12.1,-61.6,30,1010,0,0,0,0,0,0,0,0,0,0,0,0
AL042005,DENNIS,2005,7,5,0,,TD,12.2,-62.5,30,1009,0,0,0,0,0,0,0,0,0,0,0,0
AL042005,DENNIS,2005,7,5,600,,TD,12.5,-64.2,30,1008,0,0,0,0,0,0,0,0,0,0,0,0
AL042005,DENNIS,2005,7,5,1200,,TS,13,-65.9,35,1007,50,40,0,50,0,0,0,0,0,0,0,0
AL042005,DENNIS,2005,7,5,1800,,TS,13.6,-67.3,40,1005,50,40,0,50,0,0,0,0,0,0,0,0
AL042005,DENNIS,2005,7,6,0,,TS,14.3,-68.5,45,1000,50,40,20,50,0,0,0,0,0,0,0,0
AL042005,DENNIS,2005,7,6,600,,TS,14.7,-69.7,50,995,75,75,25,75,25,25,0,25,0,0,0,0
AL042005,DENNIS,2005,7,6,1200,,TS,15.1,-70.9,55,991,80,75,25,75,30,25,0,25,0,0,0,0
AL042005,DENNIS,2005,7,6,1800,,TS,15.6,-71.9,60,989,90,75,35,80,40,30,0,40,0,0,0,0
AL042005,DENNIS,2005,7,7,0,,HU,16.2,-73,70,982,110,80,45,100,50,30,10,40,20,0,0,20
