HURID,NAME,YEAR,MONTH,DAY,HOURS,RECID,StatusOfSys,LAT,HEM,LOG,HEM,MaxWind,MinPress,34KTWindNE,34KTWindSE,34KTWindSW,34KTWindNW,50KTWindNE,50KTWindSE,50KTWindSW,50KTWindNW,64KTWindNE,64KTWindSE,64KTWindSW,64KTWindNW
EP011949,UNNAMED,1949,6,11,0000,,TS,20.2,N,106.3,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,UNNAMED,1949,6,11,0600,,TS,20.2,N,106.4,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,UNNAMED,1949,6,11,1200,,TS,20.2,N,106.7,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,UNNAMED,1949,6,11,1800,,TS,20.3,N,107.7,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,UNNAMED,1949,6,12,0000,,TS,20.4,N,108.6,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,UNNAMED,1949,6,12,0600,,TS,20.5,N,109.4,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP011949,UNNAMED,1949,6,12,1200,,TS,20.6,N,110.2,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,17,1200,,TS,14.1,N,107.0,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,17,1800,,TS,14.6,N,107.7,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,18,0000,,TS,15.0,N,108.4,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,18,0600,,TS,15.4,N,109.2,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,18,1200,,TS,15.7,N,110.0,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,18,1800,,TS,16.0,N,110.8,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,19,0000,,TS,16.3,N,111.6,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,19,0600,,TS,16.7,N,112.3,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,19,1200,,TS,17.1,N,112.9,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,19,1800,,TS,17.5,N,113.5,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,20,0000,,TS,18.0,N,114.1,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,20,0600,,TS,18.4,N,114.6,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,20,1200,,TS,18.9,N,115.1,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,20,1800,,TS,19.4,N,115.6,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,21,0000,,TS,19.9,N,116.0,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
EP021949,UNNAMED,1949,6,21,0600,,TS,20.4,N,116.4,W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
